part,quantity,cost(USD),link
Kailh Deep Sea Whale mini switch,58,29.70,https://pl.aliexpress.com/item/1005008927866337.html
Pro Micro NRF52840,2,7.04,https://pl.aliexpress.com/item/1005006599766097.html
301230 LiPo battery,2,11.70,https://allegro.pl/oferta/akumulator-litowo-polimerowy-110mah-3-7v-phr-2-bk-301230-17500532114
1n4148 diode,58,1.47,https://pl.aliexpress.com/item/4000142272546.html
RGB 5mm diode,2,1.05,https://pl.aliexpress.com/item/4000225253691.html
pin socket,2,1.87,https://pl.aliexpress.com/item/10000000838267.html
PCB,5,11.60,https://jlcpcb.com/
M2 4mm flat screw,8,0.87,https://pl.aliexpress.com/item/1005005270702287.html
M2 3x3mm heat insert,8,1.47,https://pl.aliexpress.com/item/1005008295045821.html
resistor,6,1,
keycap set,1,35,
